brand,rating,review,date_experience
Shein,1,J’ai toujours pas mon colie après vérification au près de tout le monde personne la vue j’ai apelle le transporteur il m’a dit qu’il avais rien livrée et j’ai pas eu de remboursement,20 janvier 2025
Shein,2,Mon colis a été ouvert et la poste la rafistolée il me manque beaucoup d’articles,03 février 2025
Shein,1,Colis vole jamais reçu,20 janvier 2025
Shein,3,"Vêtements pas très réaliste par rapport aux photos.une chose est vrai par contre concernant les tailles, juste une qualité pas top mais en même temps pour le prix,il ne fait pas s attendre à une qualité plus,plus.",20 janvier 2025
Shein,1,Date de l'expérience: 20 janvier 2025,20 janvier 2025
Shein,2,Le pyjama que j’ai commandé est arrivé avec plein de défauts de couture et dechiré,03 février 2025
Shein,3,Moins davantage les produits sont plus cher,20 janvier 2025
Shein,3,J’ai été déçue de ma marchandises car elle ne représente pas du tout le réalité malheureusement,03 février 2025
Shein,1,"concernant Shein, les articles sont de bonne qualité, mais pour ce qu’il en est de la livraison (ou je n’ai jamais eu de problème habituellement), cette fois ci, très négatif, j’ai pu passer commande il y a une semaine, transporteur Cirro, le livreur (n’étant pas présente) m’a « gentillement » déposer mon colis dans mon hall d’immeuble, a été très vulgaire avec ses propos, n’a pas chercher à trouver de solution, résultat ? le colis attendu avait disparu après 24h dans mon hall, est-ce un voisin ? ou est-ce lui ? depuis, j’attends des réponses et une solution, je suis relativement déçue pourtant cliente fidèle, je ne pense pas que je recommanderais.",03 février 2025
Shein,1,Vous être nul 👎 ma commande a été encore renvoyé au centre de tri,03 février 2025
Shein,1,mon colis a été volé,03 février 2025
Shein,3,Ma doudoune était déchirée à son arrivée mais le reste niquel,03 février 2025
Shein,1,Article reçu et franchement ça vaut 0. Aucune ressemblance avec l'image et qualité très médiocre,04 février 2025
